,Unnamed: 0,title,view,like,unlike,date,token
1124,1124,세로라이브 정은지 Apink - 하늘바라기,2138742.0,20000.0,279.0,2016. 4. 20.,"['바라기', '세로', '라이브', '하늘']"
1125,1125,Lullaby Live Ken VIXX - Lost Stars Begin Again OST,225814.0,9000.0,38.0,2016. 4. 13.,[]
1126,1126,10cm - 봄이 좋냐 What the Spring 세로라이브,1431219.0,10000.0,161.0,2016. 4. 13.,"['세로', '라이브']"
1127,1127,세로라이브 유성은 - 질투,93186.0,858.0,3.0,2016. 4. 12.,"['세로', '라이브', '질투', '유성']"
1128,1128,세로라이브 샘김 - No눈치,169628.0,2000.0,14.0,2016. 4. 11.,"['세로', '라이브', '눈치']"
1129,1129,노래방라이브 유성은 - 말리꽃 이승철 Cover,296422.0,1000.0,36.0,2016. 4. 8.,"['이승', '라이브', '말리', '유성', '노래방']"
1130,1130,자장가라이브 에릭남 - Good for you,74126.0,1000.0,4.0,2016. 4. 8.,"['라이브', '자장가']"
1131,1131,여보세요라이브 10cm편,32491.0,810.0,2.0,2016. 4. 7.,"['보세', '라이브']"
1132,1132,세로라이브 박원 - 나를 좋아하지 않는그대에게,2584325.0,10000.0,310.0,2016. 4. 5.,"['세로', '라이브', '박원']"
1133,1133,캘리가사집 버스커버스커 - 벚꽃 엔딩,7550.0,62.0,2.0,2016. 4. 3.,"['버스', '엔딩', '벚꽃', '사집']"
1134,1134,새벽이 말했다 어반자카파 - 봄을그리다,5620.0,43.0,0.0,2016. 4. 3.,"['반자', '새벽', '카파']"
1135,1135,Hello Live LYN ver,16507.0,129.0,2.0,2016. 3. 31.,[]
1136,1136,이슬라이브 하하 - 숙녀에게 변진섭 Cover,614112.0,3000.0,79.0,2016. 3. 30.,"['라이브', '숙녀', '이슬']"
1137,1137,세로라이브 샘김 - Mama Don't Worry,255560.0,5000.0,22.0,2016. 3. 28.,"['세로', '라이브']"
1138,1138,새벽이 말했다 박원 - 나를 좋아하지 않는 그대에게,3960.0,39.0,1.0,2016. 3. 27.,"['새벽', '박원']"
1139,1139,캘리가사집 거미 - You Are My Everything 태양의 후예 OST,9047.0,102.0,0.0,2016. 3. 26.,"['태양', '거미', '후예', '사집']"
1140,1140,세로라이브 스컬 & 하하 Feat 킹스턴 루디스카 - LOSER 빅뱅 Cover,194095.0,2000.0,53.0,2016. 3. 26.,"['라이브', '빅뱅', '스컬', '킹스턴', '세로']"
1141,1141,새벽이 말했다 10cm - 스토커,7008.0,75.0,1.0,2016. 3. 25.,"['새벽', '스토커']"
1142,1142,켈리 가사집 다비치 - 이 사랑,7928.0,79.0,0.0,2016. 3. 19.,"['사랑', '다비', '가사']"
1143,1143,켈리 가사집 백아연 - 이럴거면 그러지 말지,5752.0,62.0,1.0,2016. 3. 17.,"['백아', '가사']"
1144,1144,세로라이브 주우재 - 들었다 놨다 데이브레이크 cover,83762.0,1000.0,37.0,2016. 3. 17.,"['라이브', '주우', '브레이크', '세로', '데이']"
1145,1145,지금 나 친맥 중 솔지 EXID편,109993.0,1000.0,9.0,2016. 3. 16.,[]
1146,1146,세로라이브 서인국 - 너 라는 계절,1142840.0,20000.0,121.0,2016. 3. 15.,"['세로', '라이브', '계절', '서인']"
1147,1147,세로라이브 레이디스코드 - Galaxy,173083.0,6000.0,17.0,2016. 3. 14.,"['세로', '라이브', '코드', '레이']"
