,token,like,count,like_count
522,심장,9189.0,2,4594.5
523,싸움,2174.0,2,1087.0
524,쓸모,632.0,1,632.0
525,아가,11000.0,2,5500.0
526,아내,6000.0,1,6000.0
527,아린,45.0,1,45.0
528,아미,10000.0,1,10000.0
529,아빠,5000.0,2,2500.0
530,아우터,29.0,1,29.0
532,아이디,22000.0,3,7333.333333333333
533,아이스하키,64.0,1,64.0
535,아이템,1000.0,1,1000.0
536,아침,17263.0,5,3452.6
537,아트,745.0,1,745.0
538,안도현,366.0,1,366.0
539,안무,2000.0,1,2000.0
540,알바,91823.0,4,22955.75
541,알콜,214.0,1,214.0
542,알파카,10000.0,1,10000.0
543,애교,7000.0,1,7000.0
544,애칭,70000.0,1,70000.0
545,야경,937.0,1,937.0
546,야구,7000.0,1,7000.0
547,야구장,4000.0,1,4000.0
548,야식,1000.0,1,1000.0
549,약속,330.0,1,330.0
550,양면,29.0,1,29.0
551,얘기,9000.0,1,9000.0
552,어른,1000.0,1,1000.0
553,어린이,1000.0,1,1000.0
554,어묵,241.0,1,241.0
555,어보,8000.0,1,8000.0
557,어색,1000.0,1,1000.0
558,어장,82.0,1,82.0
559,어택,126809.0,21,6038.523809523809
560,언니,1000.0,1,1000.0
561,얼굴,354.0,1,354.0
562,엄마,2096.0,5,419.2
563,에어,126.0,1,126.0
564,에이,26000.0,3,8666.666666666666
565,에이징,664.0,1,664.0
566,엑스,22000.0,3,7333.333333333333
567,엔딩,7000.0,1,7000.0
568,여고,1000.0,1,1000.0
569,여름,2668.0,3,889.3333333333334
570,여신,14000.0,2,7000.0
571,여심,1000.0,1,1000.0
572,여우,4000.0,1,4000.0
573,여운,200.0,1,200.0
574,여자,160053.0,40,4001.325
575,여행,11080.0,10,1108.0
576,여행지,505.0,1,505.0
577,역대,130204.0,6,21700.666666666668
578,역사,785.0,1,785.0
580,연기,19000.0,2,9500.0
581,연습,52000.0,2,26000.0
582,연습실,10000.0,1,10000.0
583,연애,96400.0,13,7415.384615384615
584,연어,189.0,1,189.0
585,연예인,310923.0,12,25910.25
586,연의,116.0,1,116.0
587,연하,9115.0,3,3038.3333333333335
588,연희,79.0,1,79.0
589,영국,1177.0,2,588.5
590,영미,1000.0,1,1000.0
591,영상,123686.0,7,17669.428571428572
592,영어,70.0,1,70.0
594,영화,55.0,1,55.0
595,옆집,20000.0,1,20000.0
596,예고,10050.0,6,1675.0
597,예고편,1345.0,2,672.5
598,예능,52.0,1,52.0
599,예약,3000.0,1,3000.0
600,예지,1000.0,1,1000.0
601,오가,6000.0,1,6000.0
602,오늘,23038.0,8,2879.75
603,오늘밤,8000.0,1,8000.0
604,오뎅,84.0,1,84.0
605,오락실,10000.0,1,10000.0
606,오반,84.0,1,84.0
607,오버,64.0,1,64.0
608,오빠,1911.0,3,637.0
610,오줌,201.0,1,201.0
611,오타루,321.0,1,321.0
612,오픈,10048.0,2,5024.0
613,온천,171.0,1,171.0
614,올겨울,206.0,1,206.0
615,올드,48.0,1,48.0
616,올림픽,4000.0,1,4000.0
617,옷장,45.0,1,45.0
618,와이프,70000.0,1,70000.0
619,와중,200.0,1,200.0
620,완전,6000.0,1,6000.0
621,왈츠,10000.0,1,10000.0
622,왕세자,948.0,1,948.0
623,왕자,1000.0,1,1000.0
624,외대,2000.0,1,2000.0
625,요가,10598.0,2,5299.0
626,요리,1084.0,2,542.0
627,요정,1000.0,1,1000.0
628,요즘,2000.0,1,2000.0
630,용식이,6000.0,1,6000.0
631,우리집,21000.0,2,10500.0
632,우승자,1000.0,1,1000.0
633,우주,8000.0,1,8000.0
